player_id,name,team,batting_style,bowling_style,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,batting_strike_rate,bowling_economy,player_rating
47,Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,68.0,75.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66666666666666,0.0,79.26666666666667
48,Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,126.0,77.0,12.0,2.0,6.0,8.0,2.0,74.0,0.0,0.0,0.0,163.63636363636365,9.25,113.75454545454548
49,George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,100.0,83.0,10.0,1.0,6.0,8.0,1.0,56.0,0.0,2.0,0.0,120.48192771084338,7.0,93.39277108433735
50,Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,69.0,54.0,7.0,1.0,5.0,23.3,6.0,185.0,0.0,8.0,0.0,127.77777777777777,7.939914163090129,104.43514544587507
51,Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,28.0,31.0,1.0,1.0,5.0,24.0,4.0,212.0,0.0,17.0,0.0,90.32258064516128,8.833333333333334,82.09569892473118
52,Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,7.0,9.0,1.0,0.0,2.0,9.0,3.0,78.0,0.0,1.0,0.0,77.77777777777779,8.666666666666666,74.14444444444445
53,Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,36.0,33.0,1.0,2.0,5.0,25.0,5.0,227.0,0.0,8.0,1.0,109.09090909090908,9.08,92.50436363636364
54,Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,16.0,21.0,1.0,1.0,4.0,27.0,11.0,189.0,0.0,8.0,0.0,76.19047619047619,7.0,91.17619047619048
55,Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,21.0,20.0,0.0,2.0,5.0,28.0,9.0,197.0,1.0,7.0,3.0,105.0,7.035714285714286,99.18571428571428
56,Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,13.0,19.0,1.0,0.0,3.0,23.0,4.0,155.0,1.0,4.0,0.0,68.42105263157895,6.739130434782608,73.17276887871854
57,Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,2.0,12.0,0.0,0.0,4.0,26.0,12.0,199.0,0.0,4.0,4.0,16.666666666666664,7.653846153846154,67.60512820512821
58,Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,7.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647058823529,0.0,56.970588235294116
59,Rahmanullah Gurbaz†,Afghanistan,Right hand Bat,,Wicketkeeper Batter,68.0,50.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,101.4
60,Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,80.0,83.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3855421686747,0.0,83.55421686746988
61,Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,59.0,64.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1875,0.0,80.375
62,Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,31.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,106.89655172413792,0.0,84.25862068965517
63,Mohammad Nabi(c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,17.0,15.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,113.33333333333333,0.0,85.83333333333334
64,Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,11.0,10.0,1.0,0.0,2.0,3.1,0.0,28.0,0.0,4.0,0.0,110.00000000000001,9.032258064516128,80.88709677419357
65,Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,57.0,32.0,4.0,4.0,3.0,12.0,4.0,77.0,0.0,2.0,0.0,178.125,6.416666666666667,122.68333333333334
66,Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,1.0,3.0,0.0,0.0,2.0,12.0,4.0,88.0,0.0,1.0,0.0,33.33333333333333,7.333333333333333,58.400000000000006
67,Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,2.0,4.0,0.0,0.0,1.0,4.0,1.0,48.0,0.0,2.0,0.0,50.0,12.0,57.2
68,Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,0.0,2.0,0.0,0.0,1.0,11.3,3.0,75.0,1.0,4.0,0.0,0.0,6.63716814159292,43.34513274336283
69,Jos Buttler(c)†,England,Right hand Bat,,Wicketkeeper Batter,225.0,156.0,24.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,144.23076923076923,0.0,116.6923076923077
70,Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter,212.0,144.0,19.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,147.22222222222223,0.0,118.38888888888889
71,Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,56.0,68.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35294117647058,0.0,73.94117647058823
72,Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,110.0,104.0,7.0,1.0,5.0,16.2,6.0,111.0,0.0,3.0,1.0,105.76923076923077,6.851851851851852,96.06695156695157
73,Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder,55.0,44.0,4.0,1.0,5.0,12.0,3.0,96.0,0.0,1.0,0.0,125.0,8.0,95.80000000000001
74,Harry Brook,England,Right hand Bat,Right arm Medium,Batter,56.0,58.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,96.55172413793103,0.0,80.62068965517241
75,Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,57.0,46.0,6.0,1.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0,123.91304347826086,4.5,91.76521739130435
76,Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,5.0,3.0,1.0,0.0,1.0,20.0,5.0,172.0,0.0,9.0,0.0,166.66666666666669,8.6,113.72666666666667
77,Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,0.0,0.0,0.0,0.0,,14.0,9.0,108.0,0.0,4.0,0.0,0.0,7.714285714285714,54.91428571428572
78,Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,12.0,14.0,0.0,1.0,2.0,22.4,13.0,148.0,0.0,3.0,0.0,85.71428571428571,6.607142857142858,98.64285714285714
79,Adil Rashid,England,Right hand Bat,Legbreak,Bowler,0.0,0.0,0.0,0.0,,24.0,4.0,147.0,1.0,1.0,0.0,0.0,6.125,45.550000000000004
80,Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,0.0,0.0,0.0,0.0,,6.0,1.0,46.0,0.0,0.0,0.0,0.0,7.666666666666667,38.93333333333333
81,Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,93.0,92.0,2.0,5.0,3.0,2.0,1.0,16.0,0.0,0.0,0.0,101.08695652173914,8.0,85.23478260869567
82,Vriitya Aravind†,U.A.E.,Right hand Bat,,Wicketkeeper,48.0,71.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6056338028169,0.0,68.54225352112675
83,Chundangapoyil Rizwan(c),U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter,45.0,34.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,132.35294117647058,0.0,95.44117647058823
84,Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0
85,Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter,31.0,24.0,3.0,2.0,3.0,5.0,3.0,37.0,0.0,0.0,0.0,129.16666666666669,7.4,98.20666666666668
86,Zane Green†,Namibia,Left hand Bat,,Wicketkeeper Batter,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,66.66666666666666
87,Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,25.0,24.0,1.0,1.0,1.0,4.0,0.0,22.0,0.0,3.0,0.0,104.16666666666667,5.5,80.96666666666667
88,Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,18.0,17.0,1.0,1.0,2.0,12.0,4.0,95.0,0.0,5.0,0.0,105.88235294117648,7.916666666666667,88.68627450980392
89,Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,1.0,1.0,0.0,0.0,1.0,12.0,5.0,57.0,0.0,2.0,2.0,100.0,4.75,88.1
90,Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,0.0,0.0,0.0,0.0,,1.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,36.4
91,Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler,4.0,8.0,0.0,0.0,2.0,12.0,5.0,75.0,0.0,0.0,0.0,50.0,6.25,67.5
92,Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,24.0,28.0,1.0,0.0,2.0,8.0,2.0,38.0,0.0,0.0,0.0,85.71428571428571,4.75,76.88571428571429
93,Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,26.0,39.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,68.66666666666666
94,Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,15.0,18.0,0.0,1.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,83.33333333333334,9.5,70.53333333333333
95,Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler,2.0,4.0,0.0,0.0,1.0,2.5,0.0,24.0,0.0,0.0,0.0,50.0,9.6,56.160000000000004
96,Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,57.0,62.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,91.93548387096774,0.0,81.2741935483871
97,Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,242.0,215.0,22.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,112.55813953488372,0.0,104.02325581395348
98,Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,93.0,117.0,7.0,1.0,8.0,22.0,13.0,169.0,0.0,7.0,2.0,79.48717948717949,7.681818181818182,99.22214452214453
99,Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,165.0,149.0,13.0,4.0,8.0,7.0,1.0,37.0,0.0,0.0,0.0,110.73825503355705,5.285714285714286,94.68101629913711
100,Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,107.0,103.0,7.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,103.88349514563106,0.0,88.05339805825243
101,Scott Edwards(c)†,Netherlands,Right hand Bat,,Wicketkeeper Batter,91.0,104.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,79.0
102,Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,5.0,12.0,0.0,0.0,4.0,11.0,2.0,75.0,0.0,1.0,0.0,41.66666666666667,6.818181818181818,57.93939393939394
103,Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,51.0,58.0,1.0,1.0,6.0,17.0,3.0,102.0,0.0,0.0,0.0,87.93103448275862,6.0,80.27241379310345
104,Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,15.0,23.0,0.0,0.0,4.0,16.2,3.0,125.0,0.0,3.0,0.0,65.21739130434783,7.71604938271605,69.00053676865272
105,Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,10.0,11.0,0.0,0.0,4.0,30.0,8.0,191.0,0.0,10.0,0.0,90.9090909090909,6.366666666666666,89.81696969696971
