player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
78,Sam Curran,England,Allrounder,12.0,14.0,0.0,1.0,2.0,22.4,13.0,148.0,0.0,3.0,0.0
79,Adil Rashid,England,Bowler,,,,,,24.0,4.0,147.0,1.0,1.0,0.0
80,Mohammad Nabi,Afghanistan,Allrounder,,,,,,6.0,1.0,46.0,0.0,0.0,0.0
81,Muhammad Waseem,U.A.E.,Opening Batter,93.0,92.0,2.0,5.0,3.0,2.0,1.0,16.0,0.0,0.0,0.0
82,Vriitya Aravind†,U.A.E.,Wicketkeeper,48.0,71.0,3.0,0.0,3.0,,,,,,
83,Chundangapoyil Rizwan(c),U.A.E.,Middle order Batter,45.0,34.0,3.0,1.0,3.0,,,,,,
84,Alishan Sharafu,U.A.E.,Opening Batter,4.0,4.0,0.0,0.0,1.0,,,,,,
85,Basil Hameed,U.A.E.,Middle order Batter,31.0,24.0,3.0,2.0,3.0,5.0,3.0,37.0,0.0,0.0,0.0
86,Zane Green†,Namibia,Wicketkeeper Batter,2.0,3.0,0.0,0.0,1.0,,,,,,
87,Ruben Trumpelmann,Namibia,Bowler,25.0,24.0,1.0,1.0,1.0,4.0,0.0,22.0,0.0,3.0,0.0
88,Junaid Siddique,U.A.E.,Bowler,18.0,17.0,1.0,1.0,2.0,12.0,4.0,95.0,0.0,5.0,0.0
89,Zahoor Khan,U.A.E.,Bowler,1.0,1.0,0.0,0.0,1.0,12.0,5.0,57.0,0.0,2.0,2.0
90,Ahmed Raza,U.A.E.,Bowler,,,,,,1.0,0.0,9.0,0.0,0.0,0.0
91,Karthik Meiyappan,U.A.E.,Bowler,4.0,8.0,0.0,0.0,2.0,12.0,5.0,75.0,0.0,0.0,0.0
92,Aayan Afzal Khan,U.A.E.,Bowling Allrounder,24.0,28.0,1.0,0.0,2.0,8.0,2.0,38.0,0.0,0.0,0.0
93,Chirag Suri,U.A.E.,Opening Batter,26.0,39.0,4.0,0.0,2.0,,,,,,
94,Kashif Daud,U.A.E.,Bowling Allrounder,15.0,18.0,0.0,1.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0
95,Zawar Farid,U.A.E.,Bowler,2.0,4.0,0.0,0.0,1.0,2.5,0.0,24.0,0.0,0.0,0.0
96,Vikramjit Singh,Netherlands,Opening Batter,57.0,62.0,5.0,2.0,5.0,,,,,,
97,Max O'Dowd,Netherlands,Opening Batter,242.0,215.0,22.0,8.0,8.0,,,,,,
98,Bas de Leede,Netherlands,Batting Allrounder,93.0,117.0,7.0,1.0,8.0,22.0,13.0,169.0,0.0,7.0,2.0
99,Colin Ackermann,Netherlands,Batting Allrounder,165.0,149.0,13.0,4.0,8.0,7.0,1.0,37.0,0.0,0.0,0.0
100,Tom Cooper,Netherlands,Middle order Batter,107.0,103.0,7.0,3.0,8.0,,,,,,
101,Scott Edwards(c)†,Netherlands,Wicketkeeper Batter,91.0,104.0,8.0,0.0,8.0,,,,,,
102,Roelof van der Merwe,Netherlands,Allrounder,5.0,12.0,0.0,0.0,4.0,11.0,2.0,75.0,0.0,1.0,0.0
103,Tim Pringle,Netherlands,Allrounder,51.0,58.0,1.0,1.0,6.0,17.0,3.0,102.0,0.0,0.0,0.0
104,Logan van Beek,Netherlands,Bowler,15.0,23.0,0.0,0.0,4.0,16.2,3.0,125.0,0.0,3.0,0.0
105,Fred Klaassen,Netherlands,Bowler,10.0,11.0,0.0,0.0,4.0,30.0,8.0,191.0,0.0,10.0,0.0
106,Paul van Meekeren,Netherlands,Bowler,45.0,27.0,6.0,1.0,4.0,31.0,11.0,198.0,0.0,5.0,1.0
107,Kyle Mayers,West Indies,Batting Allrounder,34.0,30.0,5.0,1.0,3.0,3.0,0.0,41.0,0.0,3.0,0.0
108,Johnson Charles,West Indies,Wicketkeeper Batter,69.0,54.0,6.0,3.0,2.0,,,,,,
109,Evin Lewis,West Indies,Opening Batter,42.0,49.0,2.0,1.0,3.0,,,,,,
110,Brandon King,West Indies,Top order Batter,79.0,63.0,9.0,1.0,2.0,,,,,,
