player_id,name,team,batting_style,bowling_style,playing_role,role_consistency_score
168,Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,0.2029749198841846
169,Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,0.38818591452123885
170,Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,0.40278304398302833
171,Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,0.5565239691355555
172,Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,0.004758981714411581
173,Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,0.4304666516299095
174,Finn Allen,New Zealand,Right hand Bat,,Top order Batter,0.6722633828991951
175,Devon Conway†,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,0.017791676027837156
176,Kane Williamson(c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,0.3371529529636297
177,Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.7829752152355017
178,James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,0.14726812697794156
179,Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,0.11810613532231928
180,Matthew Wade†,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,0.07650775907607343
181,Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,0.6067891776351612
182,Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,0.20363026926347205
183,Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,0.868775741099146
184,Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,0.21005545253937774
185,Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,0.4713898486580005
186,Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,0.2230404826814507
187,Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler,0.7863754438232403
188,Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter,0.9730901337731084
189,Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler,0.613835240020155
190,Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,0.0918741327413507
191,Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder,0.47902215896255274
192,Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,0.6018460902082368
193,Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,0.6153046200196982
194,Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,0.5399704584315665
195,Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,0.7949951830936878
196,David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,0.4984355703956518
197,Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.13029048709348134
198,Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,0.8439067596884293
199,Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,0.45133380154690217
200,Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,0.7168262721582732
201,Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,0.6434449079373217
202,Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.32143309819151555
203,Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,0.2918999210525266
204,Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,0.2526880986005492
205,Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,0.09410864054086365
206,Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter,0.9435727102759622
207,Matthew Wade(c)†,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,0.9936936344930015
208,Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,0.5842111140017824
209,Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,0.5292313398309706
210,Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,0.9021387761701227
211,Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,0.6688091478848344
212,Rishabh Pant†,India,Left hand Bat,,Wicketkeeper Batter,0.15834468376291377
213,Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,0.5807361819402408
214,Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler,0.3819659752939327
215,Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,0.8350230371020884
216,Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.45434359494570054
217,Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,0.9520283456634903
218,Regis Chakabva(c)†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.25324897333439844
219,Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,0.6380698710029642
