player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
218,Regis Chakabva,Zimbabwe,Wicketkeeper Batter,Batsman,1.0,13.0,9.0,3.0,0.0,13.0,144.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.30709401709403,27.013513513513516,62.66030376530377,0.7152322703274333,71.62363802959673
183,Tim Southee,New Zealand,Bowler,Bowling All-rounder,2.0,5.0,3.0,1.0,0.0,2.5,166.67,17.2,7.0,114.0,1.0,3.0,0.0,16.29,6.63,14.74,73.73333333333333,53.43488372093023,63.58410852713178,0.6258483855412228,71.54291086068845
85,Basil Hameed,U.A.E.,Middle order Batter,Bits and Pieces,3.0,31.0,24.0,3.0,2.0,10.33,129.17,5.0,3.0,37.0,0.0,0.0,0.0,12.33,7.4,10.0,92.61172043010754,31.752000000000002,62.181860215053774,0.74460771448848,71.44207877852844
209,Gulbadin Naib,Afghanistan,Batting Allrounder,Batsman,2.0,51.0,37.0,3.0,2.0,25.5,137.84,4.0,0.0,43.0,0.0,0.0,0.0,0.0,10.75,0.0,93.00806041335454,29.46901651651652,61.23853846493553,0.8252816758308972,71.34634719489091
98,Bas de Leede,Netherlands,Batting Allrounder,Bowling All-rounder,8.0,93.0,117.0,7.0,1.0,11.62,79.49,22.0,13.0,169.0,0.0,7.0,2.0,13.0,7.68,10.15,77.72887510339125,55.74,66.73443755169562,0.3127945379002229,70.9092710628984
73,Liam Livingstone,England,Batting Allrounder,Bits and Pieces,5.0,55.0,44.0,4.0,1.0,11.0,125.0,12.0,3.0,96.0,0.0,1.0,0.0,32.0,8.0,24.0,86.35000000000001,37.0975,61.72375,0.7385816862515008,70.84135627135322
72,Ben Stokes,England,Allrounder,All-rounder,5.0,110.0,104.0,7.0,1.0,22.0,105.77,16.2,6.0,111.0,0.0,3.0,1.0,18.5,6.85,16.2,84.58041958041959,38.870370370370374,61.72539497539498,0.7011718879193358,70.38141732088786
144,Afif Hossain,Bangladesh,Allrounder,Bits and Pieces,5.0,95.0,76.0,6.0,3.0,19.0,125.0,1.0,1.0,11.0,0.0,0.0,0.0,11.0,11.0,6.0,91.76315789473685,31.2,61.481578947368426,0.7181696547857194,70.31241981303094
137,Arshdeep Singh,India,Bowler,Bowling All-rounder,1.0,2.0,1.0,0.0,0.0,2.0,200.0,20.0,10.0,156.0,0.0,6.0,1.0,15.6,7.8,12.0,64.48,54.492,59.486000000000004,0.8983395176239626,70.17372490907582
7,David Wiese,Namibia,Allrounder,Bits and Pieces,3.0,66.0,42.0,4.0,3.0,22.0,157.14,10.3,3.0,65.0,0.0,1.0,0.0,21.67,6.31,20.6,98.11168831168831,34.33495145631068,66.2233198839995,0.2967982848523047,70.15431343575881
