player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate
193,Deepak Hooda,India,Allrounder,Unused Player,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Rishabh Pant,India,Wicketkeeper Batter,Batsman,2.0,9.0,9.0,1.0,0.0,4.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Paul Stirling,Ireland,Batting Allrounder,Batsman,7.0,170.0,127.0,16.0,6.0,24.29,133.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Andy Balbirnie,Ireland,Batter,Batsman,7.0,153.0,123.0,10.0,9.0,21.86,124.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Lorcan Tucker,Ireland,Wicketkeeper Batter,Batsman,7.0,204.0,163.0,19.0,4.0,29.14,125.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Harry Tector,Ireland,Middle order Batter,Batsman,6.0,68.0,75.0,4.0,1.0,11.33,90.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Curtis Campher,Ireland,Allrounder,Batting All-rounder,6.0,126.0,77.0,12.0,2.0,21.0,163.64,8.0,2.0,74.0,0.0,0.0,0.0,37.0,9.25,24.0
49,George Dockrell,Ireland,Allrounder,Bits and Pieces,6.0,100.0,83.0,10.0,1.0,16.67,120.48,8.0,1.0,56.0,0.0,2.0,0.0,56.0,7.0,48.0
50,Gareth Delany,Ireland,Batting Allrounder,Bowling All-rounder,5.0,69.0,54.0,7.0,1.0,13.8,127.78,23.3,6.0,185.0,0.0,8.0,0.0,30.83,7.94,23.3
51,Mark Adair,Ireland,Bowling Allrounder,Bits and Pieces,5.0,28.0,31.0,1.0,1.0,5.6,90.32,24.0,4.0,212.0,0.0,17.0,0.0,53.0,8.83,36.0
