team,position,name,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
England,10,Ben Stokes,Allrounder,84.58041958041959,38.87037037037037,61.72539497539498,0.7011718879193358,70.38141732088786
England,11,Phil Salt,Wicketkeeper Batter,78.5888888888889,27.01351351351352,52.80120120120121,0.0508639990985838,53.33833725126161
South Africa,1,Heinrich Klaasen,Wicketkeeper Batter,87.04666666666667,27.01351351351352,57.03009009009009,0.939758077475425,67.74898765435277
South Africa,2,Aiden Markram,Opening Batter,116.8828078250863,24.186666666666667,70.53473724587649,0.7853292857895762,81.61333621080841
South Africa,3,Rilee Rossouw,Top order Batter,155.2808920789541,24.01201201201201,89.64645204548306,0.4451580385671937,97.62781979689812
South Africa,4,David Miller,Middle order Batter,93.04080367393802,27.01351351351352,60.027158593725765,0.0841321377034132,61.03720122827616
South Africa,5,Temba Bavuma,Middle order Batter,89.7488479262673,27.01351351351352,58.38118071989041,0.1322054340029135,59.924842586825534
South Africa,6,Lungi Ngidi,Bowler,152.96,48.80307692307692,100.88153846153848,0.5144392663671227,111.26102338876656
South Africa,7,Anrich Nortje,Bowler,47.06666666666667,61.7514450867052,54.40905587668593,0.7101599555865196,62.13688241766429
South Africa,8,Tristan Stubbs,Wicketkeeper Batter,69.13322580645162,27.01351351351352,48.07336965998257,0.8699701502158003,56.43784898487751
South Africa,9,Quinton de Kock,Wicketkeeper Batter,136.79327188940093,27.01351351351352,81.90339270145722,0.3020934063967105,86.85188768078336
South Africa,10,Keshav Maharaj,Bowler,48.86358974358975,41.28,45.07179487179487,0.1768161996865436,46.66567956825131
South Africa,11,Tabraiz Shamsi,Bowler,32.24,42.18,37.21,0.8915151378667432,43.8446556560043
India,1,Rishabh Pant,Wicketkeeper Batter,61.63666666666667,27.01351351351352,44.32509009009009,0.5617096770432095,49.30465649797323
India,2,KL Rahul,Opening Batter,126.54226415094338,24.01201201201201,75.2771380814777,0.7888241293961643,87.15322266358899
India,3,Rohit Sharma,Top order Batter,113.94601708320153,24.01201201201201,68.97901454760677,0.7686764775755103,79.58352373342362
India,4,Suryakumar Yadav,Batter,167.40565185627946,30.015015015015017,98.71033343564724,0.6347398717664287,111.24141031304008
India,5,Virat Kohli,Top order Batter,190.03465437788017,24.01201201201201,107.02333319494608,0.0869109767555694,108.883633679668
India,6,Hardik Pandya,Allrounder,107.58975515463916,42.67777777777778,75.13376646620847,0.5291506432869845,83.08518263784212
India,7,Ravichandran Ashwin,Bowling Allrounder,60.52714285714286,41.62631578947368,51.07672932330827,0.6221578662733372,57.43228710971032
India,8,Axar Patel,Bowling Allrounder,50.43,37.35,43.89,0.1340207293012314,45.06643396180621
India,9,Arshdeep Singh,Bowler,64.48,54.492,59.486,0.8983395176239626,70.17372490907582
India,10,Bhuvneshwar Kumar,Bowler,22.293333333333333,51.80217391304348,37.047753623188406,0.3251536555478496,39.456996127271566
India,11,Dinesh Karthik,Wicketkeeper Batter,42.04857142857143,27.01351351351352,34.53104247104247,0.2320428432977177,36.13357872644546
