player_id,name,team,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
16,Chamika Karunaratne,Sri Lanka,Bowling Allrounder,22.84,45.14,33.99,-1.08,23.47
17,Pramod Madushan,Sri Lanka,Bowler,17.66,69.43,43.55,0.02,30.49
18,Dushmantha Chameera,Sri Lanka,Bowler,12.79,87.48,50.13,0.64,35.29
19,Maheesh Theekshana,Sri Lanka,Bowler,16.52,81.38,48.95,0.53,34.42
23,Charith Asalanka,Sri Lanka,Batting Allrounder,53.28,90.94,72.11,0.68,50.68
33,Binura Fernando,Sri Lanka,Bowler,0.02,60.12,30.07,-1.27,20.67
34,Lahiru Kumara,Sri Lanka,Bowler,15.52,78.11,46.81,0.33,32.87
35,Dasun Shanaka,Sri Lanka,Allrounder,0.0,67.58,33.79,-1.69,23.15
192,Kasun Rajitha,Sri Lanka,Bowler,9.79,61.84,35.81,-0.72,24.85
81,Muhammad Waseem,U.A.E.,Opening Batter,40.4,81.65,61.02,-0.67,42.52
82,Vriitya Aravind,U.A.E.,Wicketkeeper,25.45,99.28,62.36,0.0,43.65
83,Chundangapoyil Rizwan,U.A.E.,Middle order Batter,35.74,99.28,67.51,0.58,47.43
84,Alishan Sharafu,U.A.E.,Opening Batter,18.65,99.28,58.96,-0.86,41.01
85,Basil Hameed,U.A.E.,Middle order Batter,32.78,87.28,60.03,-0.3,41.93
88,Junaid Siddique,U.A.E.,Bowler,23.97,72.33,48.15,0.46,33.84
89,Zahoor Khan,U.A.E.,Bowler,17.66,89.26,53.46,0.96,37.71
90,Ahmed Raza,U.A.E.,Bowler,0.02,90.0,45.01,0.16,31.56
91,Karthik Meiyappan,U.A.E.,Bowler,9.46,84.64,47.05,0.35,33.04
92,Aayan Afzal Khan,U.A.E.,Bowling Allrounder,22.39,77.33,49.86,0.17,34.95
93,Chirag Suri,U.A.E.,Opening Batter,19.66,99.28,59.47,-0.82,41.38
94,Kashif Daud,U.A.E.,Bowling Allrounder,20.1,89.24,54.67,0.55,38.44
95,Zawar Farid,U.A.E.,Bowler,9.46,89.3,49.38,0.57,34.73
187,Aryan Lakra,U.A.E.,Bowler,5.98,67.38,36.68,-0.64,25.49
107,Kyle Mayers,West Indies,Batting Allrounder,29.48,85.06,57.27,-0.43,39.96
108,Johnson Charles,West Indies,Wicketkeeper Batter,43.63,99.28,71.45,0.11,50.05
109,Evin Lewis,West Indies,Opening Batter,26.84,99.28,63.06,-0.47,44.0
110,Brandon King,West Indies,Top order Batter,42.6,99.28,70.94,-0.28,49.57
111,Nicholas Pooran,West Indies,Wicketkeeper Batter,22.09,99.28,60.68,-0.82,42.23
112,Rovman Powell,West Indies,Middle order Batter,30.58,99.28,64.93,0.28,45.53
113,Odean Smith,West Indies,Bowling Allrounder,26.5,47.92,37.21,-0.82,25.8
114,Obed McCoy,West Indies,Bowler,12.2,18.88,15.54,-2.65,10.08
115,Akeal Hosein,West Indies,Bowler,29.44,44.95,37.2,-0.59,25.86
116,Alzarri Joseph,West Indies,Bowler,0.02,86.02,43.02,-0.03,30.1
117,Jason Holder,West Indies,Bowling Allrounder,33.02,91.24,62.13,1.13,43.83
161,Shamarh Brooks,West Indies,Top order Batter,7.22,99.28,53.25,-1.86,36.72
36,Regis Chakabva,Zimbabwe,Wicketkeeper Batter,18.24,99.28,58.76,-0.98,40.84
37,Craig Ervine,Zimbabwe,Middle order Batter,44.01,99.28,71.65,1.06,50.47
38,Wessly Madhevere,Zimbabwe,Allrounder,48.59,90.15,69.37,1.07,48.88
39,Sean Williams,Zimbabwe,Middle order Batter,58.58,76.7,67.64,0.59,47.53
40,Sikandar Raza,Zimbabwe,Batting Allrounder,76.3,89.06,82.68,1.47,58.31
41,Milton Shumba,Zimbabwe,Top order Batter,30.16,99.28,64.72,-0.84,45.05
42,Ryan Burl,Zimbabwe,Middle order Batter,43.88,89.29,66.58,0.47,46.75
43,Luke Jongwe,Zimbabwe,Bowler,38.09,59.11,48.6,0.5,34.17
55,Richard Ngarava,Zimbabwe,Bowler,23.48,80.13,51.81,0.8,36.51
56,Tendai Chatara,Zimbabwe,Bowler,15.88,57.34,36.61,-0.64,25.44
57,Blessing Muzarabani,Zimbabwe,Bowler,5.85,89.23,47.54,0.4,33.4
203,Brad Evans,Zimbabwe,Allrounder,27.89,63.8,45.85,-0.75,31.87
213,Tony Munyonga,Zimbabwe,Allrounder,15.57,99.28,57.43,0.15,40.24
214,Wellington Masakadza,Zimbabwe,Bowler,5.85,93.04,49.44,0.58,34.79
218,Regis Chakabva,Zimbabwe,Wicketkeeper Batter,30.1,99.28,64.69,-0.47,45.14
